# step lid M_Sigma Con_maxDiv C2
44000 1 18.1166 1.08713e-11 1.05524e+18
44200 1 40.1506 7.24754e-12 1.06592e+18
44400 1 49.371 7.24754e-12 1.08976e+18
44600 1 39.4557 7.24754e-12 1.11682e+18
44800 1 34.3009 1.08713e-11 1.14308e+18
45000 1 40.8543 7.24754e-12 1.1688e+18
45200 1 41.1593 1.44951e-11 1.19376e+18
45400 1 34.8939 1.08713e-11 1.21591e+18
45600 1 32.447 1.44951e-11 1.23573e+18
45800 1 27.5895 1.44951e-11 1.25145e+18
46000 1 24.3969 1.44951e-11 1.26498e+18
46200 1 22.8485 1.44951e-11 1.27526e+18
46400 1 20.1832 1.44951e-11 1.28485e+18
46600 1 20.7951 1.44951e-11 1.29415e+18
46800 1 21.7045 1.08713e-11 1.30511e+18
47000 1 20.7098 1.44951e-11 1.31468e+18
47200 1 21.0288 7.24754e-12 1.32553e+18
47400 1 21.0113 1.44951e-11 1.33637e+18
47600 1 22.0344 1.44951e-11 1.34757e+18
47800 1 22.6731 1.44951e-11 1.35914e+18
48000 1 21.958 1.44951e-11 1.37073e+18
48200 1 20.0879 1.44951e-11 1.38039e+18
48400 1 23.1865 7.24754e-12 1.39236e+18
48600 1 21.2035 1.44951e-11 1.40375e+18
48800 1 22.8109 1.44951e-11 1.41569e+18
49000 1 23.3083 7.24754e-12 1.42755e+18
49200 1 21.3761 1.08713e-11 1.43984e+18
49400 1 22.9845 1.44951e-11 1.45162e+18
49600 1 22.3853 1.08713e-11 1.46301e+18
49800 1 18.3077 1.44951e-11 1.47539e+18
50000 1 20.8426 1.44951e-11 1.48671e+18
50200 1 25.172 7.24754e-12 1.49938e+18
50400 1 22.5174 1.44951e-11 1.51115e+18
50600 1 22.3152 1.08713e-11 1.52307e+18
50800 1 18.5319 1.44951e-11 1.53559e+18
51000 1 13.9724 1.44951e-11 1.54965e+18
51200 1 9.62857 1.08713e-11 1.55089e+18
51400 1 32.1974 1.44951e-11 1.5329e+18
51600 1 14.609 1.08713e-11 1.51502e+18
51800 1 7.56938 1.44951e-11 1.50128e+18
52000 1 29.4005 7.24754e-12 1.50347e+18
52200 1 47.8574 1.08713e-11 1.52639e+18
52400 1 62.813 1.44951e-11 1.55704e+18
52600 1 70.3856 1.44951e-11 1.58906e+18
52800 1 67.1783 1.44951e-11 1.62141e+18
53000 1 63.5414 1.44951e-11 1.65443e+18
53200 1 59.7842 1.44951e-11 1.68795e+18
53400 1 55.8299 1.44951e-11 1.72064e+18
53600 1 45.8541 1.44951e-11 1.7532e+18
53800 1 41.0774 1.44951e-11 1.78516e+18
54000 1 40.2151 1.44951e-11 1.81645e+18
54200 1 43.0489 1.44951e-11 1.8468e+18
54400 1 47.9799 1.44951e-11 1.87716e+18
54600 1 47.0548 1.44951e-11 1.90754e+18
54800 1 42.3399 1.44951e-11 1.93728e+18
55000 1 41.5719 1.44951e-11 1.96719e+18
55200 1 34.7968 1.44951e-11 1.9965e+18
55400 1 19.6223 1.44951e-11 2.02182e+18
55600 1 0.501294 1.44951e-11 2.03224e+18
55800 1 17.9414 1.44951e-11 2.02516e+18
56000 1 30.6146 1.44951e-11 2.00501e+18
56200 1 40.265 1.08713e-11 1.97997e+18
56400 1 43.89 7.24754e-12 1.95493e+18
56600 1 38.8006 1.08713e-11 1.93131e+18
56800 1 28.5302 1.08713e-11 1.90939e+18
57000 1 16.9098 7.24754e-12 1.89055e+18
57200 1 5.15312 7.24754e-12 1.8738e+18
57400 1 8.11923 7.24754e-12 1.86172e+18
57600 1 23.8628 7.24754e-12 1.85826e+18
57800 1 42.3798 1.08713e-11 1.86831e+18
58000 1 56.3357 1.08713e-11 1.8905e+18
58200 1 62.0539 1.08713e-11 1.91941e+18
58400 1 63.0995 1.44951e-11 1.9507e+18
58600 1 58.5127 1.44951e-11 1.98376e+18
58800 1 51.5444 1.44951e-11 2.01746e+18
59000 1 48.934 1.44951e-11 2.05212e+18
59200 1 40.5827 1.44951e-11 2.08774e+18
59400 1 30.2199 1.44951e-11 2.12235e+18
59600 1 22.8603 1.44951e-11 2.15064e+18
59800 1 11.1742 1.44951e-11 2.16801e+18
60000 1 7.29846 1.44951e-11 2.17241e+18
60200 1 20.5766 7.24754e-12 2.16687e+18
60400 1 25.0684 7.24754e-12 2.15333e+18
60600 1 11.7794 7.24754e-12 2.14307e+18
60800 1 10.1326 1.44951e-11 2.14974e+18
61000 1 11.2161 7.24754e-12 2.16209e+18
61200 1 13.0113 1.08713e-11 2.15782e+18
61400 1 23.6883 1.08713e-11 2.14541e+18
61600 1 23.7959 7.24754e-12 2.12981e+18
61800 1 25.5223 7.24754e-12 2.11287e+18
62000 1 26.0959 7.24754e-12 2.09469e+18
62200 1 25.7378 7.24754e-12 2.07664e+18
62400 1 24.6042 7.24754e-12 2.06049e+18
62600 1 21.073 7.24754e-12 2.04454e+18
62800 1 17.7743 7.24754e-12 2.02841e+18
63000 1 5.8402 7.24754e-12 2.01476e+18
63200 1 5.84711 7.24754e-12 2.00483e+18
63400 1 25.8064 7.24754e-12 2.00498e+18
63600 1 43.4997 7.24754e-12 2.01705e+18
63800 1 52.2411 7.24754e-12 2.03563e+18
64000 1 48.3987 7.24754e-12 2.05615e+18
64200 1 49.5484 7.24754e-12 2.07817e+18
64400 1 46.7926 7.24754e-12 2.10304e+18
64600 1 42.0762 7.24754e-12 2.12985e+18
64800 1 45.2743 7.24754e-12 2.1575e+18
65000 1 52.5015 7.24754e-12 2.18671e+18
65200 1 56.1863 1.08713e-11 2.21831e+18
65400 1 52.021 1.08713e-11 2.25097e+18
65600 1 49.6386 1.08713e-11 2.28373e+18
65800 1 46.532 7.24754e-12 2.31552e+18
66000 1 36.718 7.24754e-12 2.34485e+18
66200 1 21.9865 7.24754e-12 2.369e+18
66400 1 11.3428 7.24754e-12 2.38549e+18
66600 1 4.69197 7.24754e-12 2.38759e+18
66800 1 19.6922 7.24754e-12 2.37261e+18
67000 1 23.5379 7.24754e-12 2.34969e+18
67200 1 9.20026 7.24754e-12 2.33056e+18
67400 1 11.9589 7.24754e-12 2.31979e+18
67600 1 41.9932 1.44951e-11 2.32911e+18
67800 1 55.2477 7.24754e-12 2.3541e+18
68000 1 51.8766 1.08713e-11 2.38374e+18
68200 1 48.0011 1.44951e-11 2.41566e+18
68400 1 44.0225 7.24754e-12 2.44818e+18
68600 1 39.1192 7.24754e-12 2.48166e+18
68800 1 38.8296 7.24754e-12 2.51746e+18
69000 1 43.6622 1.08713e-11 2.5552e+18
69200 1 38.1697 7.24754e-12 2.59303e+18
69400 1 28.9366 1.44951e-11 2.62791e+18
69600 1 23.0116 7.24754e-12 2.65209e+18
69800 1 2.298 7.24754e-12 2.66058e+18
70000 1 11.106 1.44951e-11 2.65866e+18
70200 1 2.54565 1.44951e-11 2.65425e+18
70400 1 19.9481 1.44951e-11 2.65935e+18
70600 1 34.8492 7.24754e-12 2.68056e+18
70800 1 33.2426 7.24754e-12 2.71099e+18
71000 1 8.33447 7.24754e-12 2.72658e+18
71200 1 17.1959 7.24754e-12 2.71518e+18
71400 1 21.6429 7.24754e-12 2.69959e+18
71600 1 25.5562 7.24754e-12 2.68237e+18
71800 1 29.9753 7.24754e-12 2.66569e+18
72000 1 25.0022 7.24754e-12 2.65031e+18
72200 1 13.0833 1.08713e-11 2.63659e+18
72400 1 12.2069 7.24754e-12 2.6196e+18
72600 1 3.72141 7.24754e-12 2.6036e+18
72800 1 5.09666 7.24754e-12 2.58921e+18
73000 1 13.4855 1.44951e-11 2.57944e+18
73200 1 26.6132 7.24754e-12 2.58071e+18
73400 1 38.0599 7.24754e-12 2.5933e+18
73600 1 48.2539 7.24754e-12 2.61668e+18
73800 1 49.1398 1.44951e-11 2.6436e+18
74000 1 50.1907 1.08713e-11 2.67382e+18
74200 1 45.4138 7.24754e-12 2.7049e+18
74400 1 42.4758 1.08713e-11 2.73653e+18
74600 1 41.2701 1.08713e-11 2.7688e+18
74800 1 45.3394 1.08713e-11 2.80373e+18
75000 1 42.6334 1.44951e-11 2.83877e+18
75200 1 38.5583 1.08713e-11 2.86834e+18
75400 1 45.1852 1.44951e-11 2.89709e+18
75600 1 49.6485 1.08713e-11 2.92574e+18
75800 1 49.78 1.08713e-11 2.95658e+18
76000 1 56.8493 1.44951e-11 2.99057e+18
76200 1 55.5469 1.08713e-11 3.02854e+18
76400 1 52.1353 1.44951e-11 3.06899e+18
76600 1 44.1672 1.44951e-11 3.10792e+18
76800 1 37.6627 1.44951e-11 3.14509e+18
77000 1 27.8467 1.44951e-11 3.17876e+18
77200 1 16.6044 1.44951e-11 3.20353e+18
77400 1 12.1438 1.44951e-11 3.22243e+18
77600 1 1.2361 1.44951e-11 3.22438e+18
77800 1 17.4051 7.24754e-12 3.20742e+18
78000 1 17.4676 1.44951e-11 3.19192e+18
78200 1 13.5299 1.08713e-11 3.17827e+18
78400 1 8.85967 1.08713e-11 3.16242e+18
78600 1 5.35264 1.08713e-11 3.14505e+18
78800 1 0.251406 7.24754e-12 3.12735e+18
79000 1 9.92586 7.24754e-12 3.11323e+18
79200 1 21.2991 7.24754e-12 3.10661e+18
79400 1 30.7944 1.44951e-11 3.11028e+18
79600 1 40.9753 1.44951e-11 3.12924e+18
79800 1 47.37 1.44951e-11 3.1589e+18
80000 1 48.2024 1.44951e-11 3.19033e+18
80200 1 43.4864 1.44951e-11 3.22222e+18
80400 1 39.9373 1.44951e-11 3.25467e+18
80600 1 36.3242 1.44951e-11 3.28748e+18
