# step lid M_Sigma Con_maxDiv C2
67200 1 49.9314 1.09566e-11 2.43017e+18
67400 1 52.3331 1.09566e-11 2.46e+18
67600 1 53.2547 7.30438e-12 2.49207e+18
67800 1 50.5366 1.46088e-11 2.52634e+18
68000 1 46.0452 1.46088e-11 2.56158e+18
68200 1 43.8382 1.46088e-11 2.59809e+18
68400 1 36.4578 1.46088e-11 2.63539e+18
68600 1 31.4009 1.46088e-11 2.67181e+18
68800 1 28.1389 1.46088e-11 2.70195e+18
69000 1 26.0419 1.09566e-11 2.72569e+18
69200 1 9.27234 1.46088e-11 2.73671e+18
69400 1 2.83441 1.09566e-11 2.74009e+18
69600 1 3.74506 7.30438e-12 2.73463e+18
69800 1 29.2468 1.46088e-11 2.74396e+18
70000 1 39.205 7.30438e-12 2.76872e+18
70200 1 39.0725 7.30438e-12 2.80189e+18
70400 1 30.8692 1.46088e-11 2.83313e+18
70600 1 13.0018 1.46088e-11 2.85364e+18
70800 1 17.5563 7.30438e-12 2.84256e+18
71000 1 22.3716 1.09566e-11 2.82443e+18
71200 1 24.4786 7.30438e-12 2.80542e+18
71400 1 25.2618 7.30438e-12 2.78651e+18
71600 1 25.6328 1.09566e-11 2.76784e+18
71800 1 22.089 1.09566e-11 2.75245e+18
72000 1 11.4841 7.30438e-12 2.73652e+18
72200 1 3.15092 7.30438e-12 2.71974e+18
72400 1 8.55563 7.30438e-12 2.7061e+18
72600 1 17.6978 7.30438e-12 2.69909e+18
72800 1 33.9397 7.30438e-12 2.70431e+18
73000 1 45.4397 7.30438e-12 2.72048e+18
73200 1 49.2908 7.30438e-12 2.74414e+18
73400 1 51.8907 1.09566e-11 2.77161e+18
73600 1 54.18 1.09566e-11 2.80261e+18
73800 1 52.9405 1.09566e-11 2.83664e+18
74000 1 48.2568 1.46088e-11 2.8715e+18
74200 1 49.4003 1.46088e-11 2.90668e+18
74400 1 49.243 1.46088e-11 2.94236e+18
74600 1 49.2705 1.09566e-11 2.97823e+18
74800 1 50.6183 1.46088e-11 3.01528e+18
75000 1 52.2656 1.46088e-11 3.05415e+18
75200 1 54.71 1.46088e-11 3.09398e+18
75400 1 54.8187 1.46088e-11 3.13466e+18
75600 1 56.5753 1.09566e-11 3.17461e+18
75800 1 58.0542 1.46088e-11 3.21614e+18
76000 1 53.7005 7.30438e-12 3.25902e+18
76200 1 51.5097 1.46088e-11 3.3016e+18
76400 1 50.4581 1.46088e-11 3.34342e+18
76600 1 49.2608 1.46088e-11 3.3839e+18
76800 1 48.4343 1.46088e-11 3.42433e+18
77000 1 46.0344 1.46088e-11 3.46506e+18
77200 1 40.6965 1.46088e-11 3.5036e+18
77400 1 30.4291 7.30438e-12 3.53875e+18
77600 1 19.8019 1.46088e-11 3.56907e+18
77800 1 9.2202 1.46088e-11 3.59045e+18
78000 1 2.26845 1.46088e-11 3.60133e+18
78200 1 12.7631 1.46088e-11 3.59873e+18
78400 1 31.4236 1.46088e-11 3.57596e+18
78600 1 31.2383 1.46088e-11 3.55074e+18
78800 1 11.352 7.30438e-12 3.53132e+18
79000 1 14.3854 1.09566e-11 3.52609e+18
79200 1 33.4497 1.46088e-11 3.53562e+18
79400 1 33.805 1.46088e-11 3.56018e+18
79600 1 13.076 1.46088e-11 3.57355e+18
79800 1 0.0561013 1.46088e-11 3.57636e+18
80000 1 4.13261 1.09566e-11 3.56679e+18
80200 1 6.15874 1.46088e-11 3.55909e+18
80400 1 30.2703 1.46088e-11 3.57062e+18
