# step lid M_Sigma Con_maxDiv C2
55400 1 38.5481 7.27596e-12 1.95454e+18
55600 1 27.171 7.27596e-12 1.98281e+18
55800 1 8.6924 7.27596e-12 2.00292e+18
56000 1 6.18467 7.27596e-12 2.0071e+18
56200 1 25.7972 7.27596e-12 1.99124e+18
56400 1 38.7379 7.27596e-12 1.96682e+18
56600 1 42.6191 7.27596e-12 1.94199e+18
56800 1 37.9269 7.27596e-12 1.918e+18
57000 1 28.0496 7.27596e-12 1.89513e+18
57200 1 15.2772 7.27596e-12 1.87397e+18
57400 1 3.09516 7.27596e-12 1.85811e+18
57600 1 19.7042 7.27596e-12 1.85192e+18
57800 1 36.7709 7.27596e-12 1.85652e+18
58000 1 56.4728 7.27596e-12 1.87642e+18
58200 1 67.116 7.27596e-12 1.90665e+18
58400 1 66.8946 7.27596e-12 1.93881e+18
58600 1 63.5671 7.27596e-12 1.9716e+18
58800 1 56.8028 7.27596e-12 2.00508e+18
59000 1 51.6719 7.27596e-12 2.03899e+18
59200 1 48.4865 7.27596e-12 2.07387e+18
59400 1 40.4898 7.27596e-12 2.11005e+18
59600 1 31.0722 7.27596e-12 2.1453e+18
59800 1 24.349 7.27596e-12 2.17483e+18
60000 1 15.3569 7.27596e-12 2.19538e+18
60200 1 4.46911 7.27596e-12 2.20547e+18
60400 1 9.80189 7.27596e-12 2.20818e+18
60600 1 7.56525 7.27596e-12 2.20989e+18
60800 1 9.54022 7.27596e-12 2.2136e+18
61000 1 22.5107 7.27596e-12 2.22601e+18
61200 1 23.5828 7.27596e-12 2.24512e+18
61400 1 2.95449 7.27596e-12 2.24801e+18
61600 1 19.9992 7.27596e-12 2.23905e+18
61800 1 25.5991 7.27596e-12 2.22376e+18
62000 1 25.4007 7.27596e-12 2.20731e+18
62200 1 25.7351 7.27596e-12 2.1895e+18
62400 1 24.68 7.27596e-12 2.1712e+18
62600 1 21.8913 7.27596e-12 2.15378e+18
62800 1 20.2964 7.27596e-12 2.13831e+18
63000 1 17.3554 3.63798e-12 2.12258e+18
63200 1 12 3.63798e-12 2.10758e+18
63400 1 0.581574 3.63798e-12 2.09672e+18
63600 1 5.09517 7.27596e-12 2.08777e+18
63800 1 22.2697 7.27596e-12 2.08805e+18
64000 1 40.9728 7.27596e-12 2.09936e+18
64200 1 51.2768 7.27596e-12 2.11794e+18
64400 1 53.226 7.27596e-12 2.1402e+18
64600 1 49.6409 7.27596e-12 2.16518e+18
64800 1 53.1694 3.63798e-12 2.19271e+18
65000 1 48.7021 7.27596e-12 2.22054e+18
65200 1 43.3198 7.27596e-12 2.25039e+18
65400 1 44.6568 7.27596e-12 2.28191e+18
65600 1 46.3013 7.27596e-12 2.3144e+18
65800 1 47.9151 7.27596e-12 2.34718e+18
66000 1 49.5401 7.27596e-12 2.3786e+18
66200 1 51.9126 7.27596e-12 2.4108e+18
66400 1 49.6192 7.27596e-12 2.44312e+18
66600 1 47.6512 7.27596e-12 2.47468e+18
66800 1 41.2133 7.27596e-12 2.50427e+18
67000 1 27.6498 7.27596e-12 2.53114e+18
67200 1 13.438 7.27596e-12 2.55184e+18
67400 1 0.57767 7.27596e-12 2.56057e+18
67600 1 17.0427 7.27596e-12 2.54914e+18
67800 1 23.8201 7.27596e-12 2.5273e+18
68000 1 24.2047 7.27596e-12 2.50353e+18
68200 1 12.8644 7.27596e-12 2.48344e+18
68400 1 7.74863 7.27596e-12 2.47366e+18
68600 1 34.3875 7.27596e-12 2.48352e+18
68800 1 45.498 7.27596e-12 2.50895e+18
69000 1 41.4825 7.27596e-12 2.53787e+18
69200 1 40.9689 7.27596e-12 2.57138e+18
69400 1 38.9368 7.27596e-12 2.60663e+18
69600 1 36.8091 7.27596e-12 2.64446e+18
69800 1 33.1637 7.27596e-12 2.67754e+18
70000 1 28.3468 7.27596e-12 2.70239e+18
70200 1 12.4841 7.27596e-12 2.71426e+18
70400 1 2.35627 7.27596e-12 2.71788e+18
70600 1 11.8617 7.27596e-12 2.71839e+18
70800 1 36.7387 7.27596e-12 2.73454e+18
71000 1 42.1884 7.27596e-12 2.76413e+18
71200 1 36.5508 7.27596e-12 2.7971e+18
71400 1 19.8025 7.27596e-12 2.8226e+18
71600 1 10.5022 7.27596e-12 2.81687e+18
71800 1 19.5471 7.27596e-12 2.80009e+18
72000 1 19.4959 7.27596e-12 2.78211e+18
72200 1 22.145 7.27596e-12 2.76533e+18
72400 1 21.8073 7.27596e-12 2.74821e+18
72600 1 17.4318 7.27596e-12 2.73047e+18
72800 1 10.1682 7.27596e-12 2.71177e+18
73000 1 1.32563 7.27596e-12 2.69563e+18
73200 1 8.14702 7.27596e-12 2.6827e+18
73400 1 18.0839 7.27596e-12 2.67792e+18
73600 1 33.9685 7.27596e-12 2.68636e+18
